name,capacity,zoneName,features
Anatomy Biology Lab 1,60,HEALTH SCIENCES COMPLEX,BIOLOGY LAB|ANATOMY LAB
Anatomy Biology Lab 2,55,HEALTH SCIENCES COMPLEX,BIOLOGY LAB|ANATOMY LAB
Biology Lab 3,65,AGRIC LAB COMPLEX,PROJECTOR|BIOLOGY LAB
Biology Lab 4,60,MAIN ACADEMIC BLOCK,PROJECTOR|BIOLOGY LAB
Seminar Room 1,55,GENERAL STUDIES BLOCK,PROJECTOR|SMART BOARD
Seminar Room 2,50,GENERAL STUDIES BLOCK,PROJECTOR|SMART BOARD
Seminar Room 3,50,INNOVATION HUB,PROJECTOR|SMART BOARD
Moot Court 1,50,LAW COMPLEX,PROJECTOR|MOOT COURT
Moot Court 2,45,LAW COMPLEX,PROJECTOR|MOOT COURT
Smart Lab 1,55,INNOVATION HUB,PROJECTOR|SMART BOARD
Smart Lab 2,50,AGRIC LAB COMPLEX,PROJECTOR|SMART BOARD
