name,capacity,zoneName,features
Anatomy Lab 1,50,HEALTH SCIENCES COMPLEX,PROJECTOR|SMART BOARD|ANATOMY LAB
Anatomy Lab 2,45,HEALTH SCIENCES COMPLEX,PROJECTOR|SMART BOARD|ANATOMY LAB
Physics Lab 4,60,MAIN ACADEMIC BLOCK,PROJECTOR|PHYSICS LAB
Physics Lab 5,55,MAIN ACADEMIC BLOCK,PROJECTOR|PHYSICS LAB
Physics Lab 6,55,MAIN ACADEMIC BLOCK,PROJECTOR|PHYSICS LAB
CAD Studio 3,50,DESIGN STUDIO BLOCK,SMART BOARD|CAD STUDIO
CAD Studio 4,60,DESIGN STUDIO BLOCK,SMART BOARD|CAD STUDIO
CAD Studio 5,45,MAIN ACADEMIC BLOCK,SMART BOARD|CAD STUDIO
Computer Lab 7,60,INNOVATION HUB,PROJECTOR|SMART BOARD|COMPUTER LAB
Computer Lab 8,55,ICT COMPLEX,PROJECTOR|SMART BOARD|COMPUTER LAB
Computer Lab 9,50,DESIGN STUDIO BLOCK,COMPUTER LAB|CAD STUDIO
Computer Lab 10,55,DESIGN STUDIO BLOCK,COMPUTER LAB|CAD STUDIO
Computer Lab 11,45,ICT COMPLEX,PROJECTOR|SMART BOARD|COMPUTER LAB
